#;Número de artículo;Descripción;Fecha de contabilización;Documento;Cantidad;Cantidad.1;Unidad de meINGRESOSda;Tonelada;Clasificación;Procedencia
CARTULINA;100300001;Cartulina Husky -- C-8 200 gramos 25 x 36;24/10/2025;INGRESOS;1000.0;1000.0;hoja(s);0.116078;C8-25H;LOCAL
CARTULINA;100300004;Cartulina Husky -- C-10 230 gramos 25 x 36;7/10/2025;INGRESOS;15200.0;15200.0;hoja(s);2.02904344;C10-25H;LOCAL
CARTULINA;100300005;Cartulina Husky -- C-10 230 gramos 25 x 38;1/10/2025;INGRESOS;800.0;800.0;hoja(s);0.1127506;C10-25H;LOCAL
CARTULINA;100300005;Cartulina Husky -- C-10 230 gramos 25 x 38;7/10/2025;INGRESOS;800.0;800.0;hoja(s);0.1127506;C10-25H;LOCAL
CARTULINA;100300005;Cartulina Husky -- C-10 230 gramos 25 x 38;21/10/2025;INGRESOS;23100.0;23100.0;hoja(s);3.255673575;C10-25H;LOCAL
CARTULINA;100300005;Cartulina Husky -- C-10 230 gramos 25 x 38;21/10/2025;INGRESOS;4600.0;4600.0;hoja(s);0.64831595;C10-25H;LOCAL
CARTULINA;100300006;Cartulina Husky -- C-10 230 gramos 30 x 40;7/10/2025;INGRESOS;2400.0;2400.0;hoja(s);0.427353984;C10-30H;LOCAL
CARTULINA;100300008;Cartulina Husky -- C-12 270 gramos 25 x 36;1/10/2025;INGRESOS;500.0;500.0;hoja(s);0.07835265;C12-25H;LOCAL
CARTULINA;100300008;Cartulina Husky -- C-12 270 gramos 25 x 36;7/10/2025;INGRESOS;1000.0;1000.0;hoja(s);0.1567053;C12-25H;LOCAL
CARTULINA;100300008;Cartulina Husky -- C-12 270 gramos 25 x 36;21/10/2025;INGRESOS;1500.0;1500.0;hoja(s);0.23505795;C12-25H;LOCAL
CARTULINA;100300009;Cartulina Husky -- C-12 270 gramos 25 x 38;1/10/2025;INGRESOS;1000.0;1000.0;hoja(s);0.16544925;C12-25H;LOCAL
CARTULINA;100300009;Cartulina Husky -- C-12 270 gramos 25 x 38;10/10/2025;INGRESOS;1250.0;1250.0;hoja(s);0.206811563;C12-25H;LOCAL
CARTULINA;100300010;Cartulina Husky -- C-12 270 gramos 30 x 40;21/10/2025;INGRESOS;600.0;600.0;hoja(s);0.125419104;C12-30H;LOCAL
