Mes;Clasificación;Stock_Actual;Proy_Mensual
oct-25;BAYER;51.4;2.038495143
oct-25;BIMBO;20.1;12.37667598
oct-25;Bond;1.2;20.047127
oct-25;C10-25H;0.8;2.183449413
oct-25;C10-30H;0.0;0.0
oct-25;C12-23.5;0.0;0.0
oct-25;C12-25;151.6;22.77470369
oct-25;C12-25H;5.8;0.698927099
oct-25;C12-27;3.4;0.0
oct-25;C12-29;14.3;0.0
oct-25;C12-30;0.0;0.0
oct-25;C12-30H;0.0;0.0
oct-25;C12-31;1.9;0.0
oct-25;C12-35.3;0.4;0.0
oct-25;C13.6-25;133.0;0.0
oct-25;C13.6-30;36.3;0.0
oct-25;C14-22;48.8;0.0
oct-25;C14-24;0.0;0.0
oct-25;C14-25;74.3;12.31518904
oct-25;C14-25.5;11.8;0.0
oct-25;C14-25H;0.2;0.0
oct-25;C14-26;0.0;0.0
oct-25;C14-29;54.1;0.93551261
oct-25;C14-30;0.0;0.0
oct-25;C14-30H;0.0;0.0
oct-25;C14-37;0.0;0.0
oct-25;C16.3-25;136.5;0.0
oct-25;C16.3-27;52.4;0.0
oct-25;C16.3-28.5;22.7;0.0
oct-25;C16.3-29;15.6;0.0
oct-25;C16.3-35.5;10.0;0.0
oct-25;C16-22;1.5;0.0
oct-25;C16-25;111.7;28.81281282
oct-25;C16-25H;0.0;6.784174042
oct-25;C16-27;14.6;0.0
oct-25;C16-29;62.5;5.508301624
oct-25;C16-30;0.0;0.0
oct-25;C16-35.5;0.4;0.0
oct-25;C16-36;0.0;0.0
oct-25;C16-39;0.6;0.0
oct-25;C18-25;72.3;62.26356768
oct-25;C18-25H;0.1;0.0
oct-25;C18-29;54.6;16.08804731
oct-25;C18-30;0.0;0.0
oct-25;C18-34;0.0;0.0
oct-25;C19-24;0.0;0.0
oct-25;C19-25;69.8;2.826271186
oct-25;C19-29;4.8;11.4154343
oct-25;C19-34;0.2;0.0
oct-25;C19-35;0.0;0.0
oct-25;C20-25;27.3;12.37508521
oct-25;C20-29;10.8;0.0
oct-25;C20-30;0.3;0.0
oct-25;C21;0.1;0.0
oct-25;C22-25;3.5;0.0
oct-25;C22-30;0.0;0.0
oct-25;C22-34;0.0;0.0
oct-25;C8-25H;0.1;3.445286853
oct-25;CMPC GC1;1.6;0.0
oct-25;CMPC RC;51.1;5.895227526
oct-25;COLGATE;382.3;0.0
oct-25;Couche;3.8;8.508244913
oct-25;FOSFORERA;131.1;29.92289621
oct-25;GILDAN;21.6;0.0
oct-25;HONDURAS FOS;48.8;17.47270607
oct-25;Kraft;0.0;42.03199548
oct-25;OLMECA;98.8;33.03934935
oct-25;Papesp;0.1;0.0
oct-25;POLICOTE;100.1;26.03921182
oct-25;Spark;0.0;0.0
oct-25;Varios;0.2;0.0
oct-25;YA ESTA;23.3;14.50563876
nov-25;BAYER;40.99826297;7.203286022
nov-25;BIMBO;4.649310463;12.37667598
nov-25;Bond;0.795812852;3.703703395
nov-25;C10-25H;0.651134715;0.0
nov-25;C10-30H;0.0;0.0
nov-25;C12-23.5;0.009275291;0.0
nov-25;C12-25;141.4679748;21.12813983
nov-25;C12-25H;3.719906073;0.966789405
nov-25;C12-27;3.44829685;0.0
nov-25;C12-29;14.3428736;0.0
nov-25;C12-30;0.0;0.0
nov-25;C12-30H;0.0;0.0
nov-25;C12-31;1.90143162;0.0
nov-25;C12-35.3;0.4149936;0.0
nov-25;C13.6-25;125.8331812;1.954861839
nov-25;C13.6-30;36.34912593;0.0
nov-25;C14-22;48.842096;0.0
nov-25;C14-24;0.0;0.0
nov-25;C14-25;60.03963703;7.852322888
nov-25;C14-25.5;11.76383488;0.0
nov-25;C14-25H;0.059745563;0.0
nov-25;C14-26;0.0;0.0
nov-25;C14-29;53.75244438;1.043094688
nov-25;C14-30;0.0;0.0
nov-25;C14-30H;0.02322576;0.0
nov-25;C14-37;0.0;0.0
nov-25;C16.3-25;130.4864516;0.0
nov-25;C16.3-27;52.35430614;0.0
nov-25;C16.3-28.5;22.74111943;0.0
nov-25;C16.3-29;24.52433328;0.0
nov-25;C16.3-35.5;8.94711921;0.0
nov-25;C16-22;1.52364132;0.0
nov-25;C16-25;99.32178605;26.35352713
nov-25;C16-25H;1.068066825;0.134044531
nov-25;C16-27;14.5884787;0.0
nov-25;C16-29;51.36698241;0.885765375
nov-25;C16-30;0.0;0.0
nov-25;C16-35.5;0.4347189;0.0
nov-25;C16-36;0.0;0.0
nov-25;C16-39;0.592758648;0.0
nov-25;C18-25;104.1767697;14.50552325
nov-25;C18-25H;0.0;0.0
nov-25;C18-29;43.15488437;6.411610567
nov-25;C18-30;0.0;0.0
nov-25;C18-34;0.0;0.0
nov-25;C19-24;0.0;0.0
nov-25;C19-25;70.8926545;3.401295166
nov-25;C19-29;0.25119312;0.0
nov-25;C19-34;0.21167664;0.0
nov-25;C19-35;0.0;0.0
nov-25;C20-25;27.01506733;2.327491091
nov-25;C20-29;10.3492272;0.0
nov-25;C20-30;0.343741248;0.0
nov-25;C21;0.0624078;0.0
nov-25;C22-25;2.306500404;0.0
nov-25;C22-30;0.0;0.0
nov-25;C22-34;0.0;0.0
nov-25;C8-25H;0.053041804;0.0
nov-25;CMPC GC1;1.64574855;0.0
nov-25;CMPC RC;48.93896275;3.32088102
nov-25;COLGATE;6.988426921;0.0
nov-25;COLGATE-100;5.904084966;5.784182138
nov-25;COLGATE-125;28.59322051;3.208988383
nov-25;COLGATE-150;90.75328009;8.606369011
nov-25;COLGATE-22;4.674761948;2.818989254
nov-25;COLGATE-50;45.18516766;5.609099965
nov-25;COLGATE-75;160.8261145;22.96228753
nov-25;Couche;3.739913059;6.296845579
nov-25;FOSFORERA;137.4098447;29.92289621
nov-25;GILDAN;20.48838244;0.0
nov-25;HONDURAS FOS;48.84580916;15.50753798
nov-25;Kraft;0.0;29.65621788
nov-25;OLMECA;148.7602991;33.03934935
nov-25;Papesp;0.122555;15.6257625
nov-25;POLICOTE;86.1636978;11.66015559
nov-25;Spark;0.022838664;0.0
nov-25;Varios;0.203053948;0.0
nov-25;YA ESTA;53.32038712;14.50563876
nov-25;C12-25.75;22.73837528;0.0
dic-25;BAYER-23;42.35;0.0
dic-25;BAYER-25;9.55;0.0
dic-25;BAYER-29;4.9;0.0
dic-25;Bond;3.67;2.156983385
dic-25;C10-25H;0.59;4.52039355
dic-25;C12-23.5;0.01;0.0
dic-25;C12-25;126.62;13.63134881
dic-25;C12-25.75;18.92;0.0
dic-25;C12-25H;3.82;3.956147028
dic-25;C12-29;0.09;0.0
dic-25;C12-31;1.9;0.0
dic-25;C12-35.3;0.41;0.0
dic-25;C13.6-25;124.49;0.0
dic-25;C13.6-30;36.35;0.0
dic-25;C14-22;48.84;0.0
dic-25;C14-25;38.54;9.375579244
dic-25;C14-25.5;11.76;0.0
dic-25;C14-25H;0.11;0.0
dic-25;C14-29;53.78;0.0
dic-25;C14-30H;0.12;0.0
dic-25;C16.3-25;120.7;0.0
dic-25;C16.3-27;48.88;0.0
dic-25;C16.3-28.5;22.74;0.0
dic-25;C16.3-29;22.95;0.0
dic-25;C16.3-35.5;8.95;0.0
dic-25;C16-22;0.85;0.0
dic-25;C16-25;83.37;1.495223178
dic-25;C16-25H;0.17;3.978755492
dic-25;C16-27;14.59;0.0
dic-25;C16-29;51.86;1.433361209
dic-25;C16-30H;0.11;0.0
dic-25;C16-35.5;0.56;0.0
dic-25;C16-39;0.59;0.0
dic-25;C18-23;51.94;0.0
dic-25;C18-25;44.5;14.4229089
dic-25;C18-25-COSC;36.62;0.0
dic-25;C18-29;2.46;4.537260022
dic-25;C18-29-COSC;32.38;0.0
dic-25;C19-24;17.32;0.0
dic-25;C19-25;45.88;1.350666203
dic-25;C19-29;0.25;0.0
dic-25;C19-34;0.21;0.0
dic-25;C20-25;18.94;0.331581443
dic-25;C20-29;9.99;0.0
dic-25;C20-30;0.34;0.0
dic-25;C21;0.06;0.0
dic-25;C22-25;2.33;4.3237404
dic-25;C24-23;0.55;0.0
dic-25;C8-25H;0.01;0.0
dic-25;CMPC GC1;1.65;0.0
dic-25;CMPC RC;48.94;1.032737895
dic-25;COLGATE;6.99;0.0
dic-25;COLGATE-100;22.25;5.784182138
dic-25;COLGATE-125;18.59;5.883145369
dic-25;COLGATE-150;81.68;11.13133854
dic-25;COLGATE-22;32.63;2.818989254
dic-25;COLGATE-50;51.72;5.609099965
dic-25;COLGATE-75;139.04;32.92112359
dic-25;Couche;8.91;5.462044734
dic-25;FOSFORERA;63.95;30.08091603
dic-25;GILDAN;20.49;0.0
dic-25;HONDURAS FOS;48.85;15.50753798
dic-25;indigo;0.01;0.0
dic-25;OLMECA;104.27;33.03934935
dic-25;Papesp;0.12;0.0
